income_bracket,1-person,2-persons,3-persons,4+ persons,Tenure,Age
"Less than $9,999",195,15,35,80,Owner,15 - 61
"$10,000 - $19,999",250,50,40,95,Owner,15 - 61
"$20,000 - $29,999",315,245,55,205,Owner,15 - 61
"$30,000 - $39,999",310,230,90,150,Owner,15 - 61
"$40,000 - $49,999",225,355,270,145,Owner,15 - 61
"$50,000 - $59,999",165,130,115,220,Owner,15 - 61
"$60,000 - $74,999",205,545,205,285,Owner,15 - 61
"$75,000 - $99,999",200,790,260,550,Owner,15 - 61
"$100,000 - $124,999",35,440,325,520,Owner,15 - 61
"$125,000 or more",35,685,545,885,Owner,15 - 61
"Less than $9,999",315,30,0,0,Owner,62+
"$10,000 - $19,999",1085,235,35,10,Owner,62+
"$20,000 - $29,999",830,325,100,35,Owner,62+
"$30,000 - $39,999",350,460,65,25,Owner,62+
"$40,000 - $49,999",245,260,50,60,Owner,62+
"$50,000 - $59,999",245,310,90,10,Owner,62+
"$60,000 - $74,999",215,540,135,50,Owner,62+
"$75,000 - $99,999",125,655,90,100,Owner,62+
"$100,000 - $124,999",40,435,70,35,Owner,62+
"$125,000 or more",70,525,105,65,Owner,62+
"Less than $9,999",770,290,130,235,Renter,15 - 61
"$10,000 - $19,999",630,575,310,380,Renter,15 - 61
"$20,000 - $29,999",335,340,610,405,Renter,15 - 61
"$30,000 - $39,999",315,250,80,545,Renter,15 - 61
"$40,000 - $49,999",310,205,190,315,Renter,15 - 61
"$50,000 - $59,999",190,205,160,345,Renter,15 - 61
"$60,000 - $74,999",125,195,300,325,Renter,15 - 61
"$75,000 - $99,999",45,215,130,230,Renter,15 - 61
"$100,000 - $124,999",4,70,60,40,Renter,15 - 61
"$125,000 or more",65,60,35,150,Renter,15 - 61
"Less than $9,999",425,20,0,0,Renter,62+
"$10,000 - $19,999",795,130,15,0,Renter,62+
"$20,000 - $29,999",300,255,0,20,Renter,62+
"$30,000 - $39,999",110,100,60,80,Renter,62+
"$40,000 - $49,999",40,115,45,15,Renter,62+
"$50,000 - $59,999",125,50,10,0,Renter,62+
"$60,000 - $74,999",35,15,0,30,Renter,62+
"$75,000 - $99,999",10,4,50,4,Renter,62+
"$100,000 - $124,999",30,15,0,0,Renter,62+
"$125,000 or more",0,4,0,0,Renter,62+
